Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P0A7E5	PYRG_ECOLI	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG b2780 JW2751		pyrG	60,374	'de novo' CTP biosynthetic process [GO:0044210]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; protein homotetramerization [GO:0051289]; pyrimidine nucleobase biosynthetic process [GO:0019856]	cytoophidium [GO:0097268]; cytosol [GO:0005829]	cytoophidium [GO:0097268]; cytosol [GO:0005829]; ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; 'de novo' CTP biosynthetic process [GO:0044210]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; protein homotetramerization [GO:0051289]; pyrimidine nucleobase biosynthetic process [GO:0019856]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0003883; GO:0005524; GO:0005829; GO:0006241; GO:0006541; GO:0019856; GO:0042802; GO:0044210; GO:0051289; GO:0097268	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32507415}. Note=Localizes to the cytoophidium, a subcellular filamentary structure where CTP synthase is compartmentalized. Many cells form cytoophidia which are observed in stationary phase. {ECO:0000269|PubMed:32507415}.	
P33221	PURT_ECOLI	Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT b1849 JW1838		purT	42,434	'de novo' IMP biosynthetic process [GO:0006189]	cytosol [GO:0005829]	cytosol [GO:0005829]; acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylglycinamide formyltransferase 2 activity [GO:0043815]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]; 'de novo' IMP biosynthetic process [GO:0006189]	acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylglycinamide formyltransferase 2 activity [GO:0043815]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]	GO:0000287; GO:0004644; GO:0005524; GO:0005829; GO:0006189; GO:0008776; GO:0043815		
P24230	RECG_ECOLI	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG radC b3652 JW3627	radC	recG	76,430	DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; response to radiation [GO:0009314]	cytosol [GO:0005829]; Holliday junction helicase complex [GO:0009379]	cytosol [GO:0005829]; Holliday junction helicase complex [GO:0009379]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; response to radiation [GO:0009314]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0009314; GO:0009379; GO:0032508		
P32156	RHAM_ECOLI	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM yiiL b3901 JW3872	yiiL	rhaM	12,265	rhamnose catabolic process [GO:0019301]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; L-rhamnose mutarotase activity [GO:0062192]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; rhamnose catabolic process [GO:0019301]	L-rhamnose mutarotase activity [GO:0062192]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]	GO:0005737; GO:0016857; GO:0019301; GO:0062192	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P0AGL7	RSME_ECOLI	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)	rsmE yggJ b2946 JW2913	yggJ	rsmE	26,978	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]; rRNA base methylation [GO:0070475]	rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]	GO:0005737; GO:0070042; GO:0070475	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P06992	RSMA_ECOLI	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA b0051 JW0050	ksgA	rsmA	30,420	response to antibiotic [GO:0046677]; ribosomal small subunit assembly [GO:0000028]; rRNA base methylation [GO:0070475]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]	cytosol [GO:0005829]	cytosol [GO:0005829]; 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]; rRNA binding [GO:0019843]; response to antibiotic [GO:0046677]; ribosomal small subunit assembly [GO:0000028]; rRNA base methylation [GO:0070475]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]; rRNA binding [GO:0019843]	GO:0000028; GO:0000179; GO:0003690; GO:0003729; GO:0005829; GO:0006364; GO:0019843; GO:0031167; GO:0046677; GO:0052908; GO:0070475	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P76136	SAFA_ECOLI	Two-component-system connector protein SafA (Regulatory protein b1500) (Sensor associating factor A)	safA yneN b1500 JW1494.1	yneN	safA	7,272	response to acidic pH [GO:0010447]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; response to acidic pH [GO:0010447]		GO:0005887; GO:0010447	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:17998538}; Single-pass type II membrane protein {ECO:0000269|PubMed:17998538}.	
P0A821	SELA_ECOLI	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)	selA fdhA b3591 JW3564	fdhA	selA	50,607	selenocysteine biosynthetic process [GO:0016260]; selenocysteine incorporation [GO:0001514]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]	cytosol [GO:0005829]	cytosol [GO:0005829]; identical protein binding [GO:0042802]; L-seryl-tRNASec selenium transferase activity [GO:0004125]; pyridoxal phosphate binding [GO:0030170]; selenocysteine biosynthetic process [GO:0016260]; selenocysteine incorporation [GO:0001514]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]	identical protein binding [GO:0042802]; L-seryl-tRNASec selenium transferase activity [GO:0004125]; pyridoxal phosphate binding [GO:0030170]	GO:0001514; GO:0004125; GO:0005829; GO:0016260; GO:0030170; GO:0042802; GO:0097056	SUBCELLULAR LOCATION: Cytoplasm.	
P38052	SFMF_ECOLI	Uncharacterized fimbrial-like protein SfmF	sfmF ybcG b0534 JW5072	ybcG	sfmF	18,223	cell adhesion [GO:0007155]; cell adhesion involved in single-species biofilm formation [GO:0043709]; pilus organization [GO:0043711]	pilus [GO:0009289]	pilus [GO:0009289]; cell adhesion [GO:0007155]; cell adhesion involved in single-species biofilm formation [GO:0043709]; pilus organization [GO:0043711]		GO:0007155; GO:0009289; GO:0043709; GO:0043711	SUBCELLULAR LOCATION: Fimbrium {ECO:0000250}.	
P0AG14	SOHB_ECOLI	Probable protease SohB (EC 3.4.21.-)	sohB b1272 JW1264		sohB	39,366	proteolysis [GO:0006508]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0005886; GO:0006508; GO:0016021	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein.	
P0A828	SMG_ECOLI	Protein Smg	smg b3284 JW3245		smg	18,510							
P39362	SGCE_ECOLI	Protein SgcE (EC 5.1.3.-)	sgcE yjhK b4301 JW4263	yjhK	sgcE	23,214	cellular carbohydrate metabolic process [GO:0044262]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	cytosol [GO:0005829]	cytosol [GO:0005829]; metal ion binding [GO:0046872]; ribulose-phosphate 3-epimerase activity [GO:0004750]; cellular carbohydrate metabolic process [GO:0044262]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	metal ion binding [GO:0046872]; ribulose-phosphate 3-epimerase activity [GO:0004750]	GO:0004750; GO:0005829; GO:0009052; GO:0019323; GO:0044262; GO:0046872		
P15082	SRLR_ECOLI	Glucitol operon repressor	srlR gutR b2707 JW2676	gutR	srlR	28,236	negative regulation of transcription, DNA-templated [GO:0045892]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0009401; GO:0045892		
P0AFH8	OSMY_ECOLI	Osmotically-inducible protein Y	osmY b4376 JW4338		osmY	21,074	chaperone-mediated protein folding [GO:0061077]; hyperosmotic response [GO:0006972]; response to osmotic stress [GO:0006970]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; chaperone-mediated protein folding [GO:0061077]; hyperosmotic response [GO:0006972]; response to osmotic stress [GO:0006970]		GO:0006970; GO:0006972; GO:0030288; GO:0061077	SUBCELLULAR LOCATION: Periplasm.	
P09169	OMPT_ECOLI	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)	ompT b0565 JW0554		ompT	35,562	proteolysis [GO:0006508]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; intrinsic component of cell outer membrane [GO:0031230]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; intrinsic component of cell outer membrane [GO:0031230]; aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]	GO:0004175; GO:0004190; GO:0004252; GO:0006508; GO:0009279; GO:0016021; GO:0031230	SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein.	
P36672	PTTBC_ECOLI	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]	treB b4240 JW4199		treB	51,081	carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; trehalose transport [GO:0015771]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; protein-phosphocysteine-trehalose phosphotransferase system transporter activity [GO:0090589]; trehalose transmembrane transporter activity [GO:0015574]; carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; trehalose transport [GO:0015771]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; protein-phosphocysteine-trehalose phosphotransferase system transporter activity [GO:0090589]; trehalose transmembrane transporter activity [GO:0015574]	GO:0005886; GO:0008982; GO:0009401; GO:0015574; GO:0015771; GO:0016021; GO:0016301; GO:0034219; GO:0090563; GO:0090589	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00426, ECO:0000305|PubMed:2160944}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00426}.	
P33024	PSUT_ECOLI	Putative pseudouridine transporter	psuT pscT yeiM b2164 JW2151	pscT yeiM	psuT	43,432	nucleoside transmembrane transport [GO:1901642]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; nucleoside transmembrane transporter activity [GO:0005337]; symporter activity [GO:0015293]; nucleoside transmembrane transport [GO:1901642]	nucleoside transmembrane transporter activity [GO:0005337]; symporter activity [GO:0015293]	GO:0005337; GO:0005886; GO:0005887; GO:0015293; GO:1901642	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P37188	PTKB_ECOLI	PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200)	gatB b2093 JW2077		gatB	10,222	galactitol metabolic process [GO:0019402]; galactitol transport [GO:0015796]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytosol [GO:0005829]	cytosol [GO:0005829]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-galactitol-phosphotransferase system transporter activity [GO:0090584]; galactitol metabolic process [GO:0019402]; galactitol transport [GO:0015796]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-galactitol-phosphotransferase system transporter activity [GO:0090584]	GO:0005829; GO:0008982; GO:0009401; GO:0015796; GO:0019402; GO:0090584	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:8955298}.	
P56580	PTHB_ECOLI	PTS system glucitol/sorbitol-specific EIIB component (EC 2.7.1.198) (EII-Gut) (Enzyme II-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIB component)	srlE gutA gutE b2703 JW5430	gutA gutE	srlE	33,332	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]	GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:0016301; GO:0090563	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:3553176}; Multi-pass membrane protein {ECO:0000255, ECO:0000305|PubMed:3553176}.	
P04983	RBSA_ECOLI	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA b3749 JW3728		rbsA	55,042	D-ribose transmembrane transport [GO:0015752]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type D-ribose transporter activity [GO:0015611]; ABC-type monosaccharide transporter activity [GO:0015407]; ATP binding [GO:0005524]; D-ribose transmembrane transporter activity [GO:0015591]; D-ribose transmembrane transport [GO:0015752]	ABC-type D-ribose transporter activity [GO:0015611]; ABC-type monosaccharide transporter activity [GO:0015407]; ATP binding [GO:0005524]; D-ribose transmembrane transporter activity [GO:0015591]	GO:0005524; GO:0015407; GO:0015591; GO:0015611; GO:0015752; GO:0043190	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000305|PubMed:25533465}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000305|PubMed:25533465}.	
P0C079	RELB_ECOLI	Antitoxin RelB	relB b1564 JW1556		relB	9,071	transcription, DNA-templated [GO:0006351]	protein-DNA complex [GO:0032993]	protein-DNA complex [GO:0032993]; bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription repressor activity [GO:0001217]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; transcription, DNA-templated [GO:0006351]	bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription repressor activity [GO:0001217]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0000986; GO:0001217; GO:0006351; GO:0032993		
P75782	RLMF_ECOLI	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)	rlmF ybiN b0807 JW5107	ybiN	rlmF	34,226	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 23S rRNA (adenine(1618)-N(6))-methyltransferase activity [GO:0052907]; rRNA base methylation [GO:0070475]	23S rRNA (adenine(1618)-N(6))-methyltransferase activity [GO:0052907]	GO:0005737; GO:0052907; GO:0070475	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P31667	RPNA_ECOLI	Recombination-promoting nuclease RpnA (EC 3.1.21.-)	rpnA yhgA b3411 JW3374	yhgA	rpnA	33,267	DNA recombination [GO:0006310]		double-stranded DNA endodeoxyribonuclease activity [GO:1990238]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; DNA recombination [GO:0006310]	double-stranded DNA endodeoxyribonuclease activity [GO:1990238]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	GO:0006310; GO:0016888; GO:1990238		
